Lambda,MSE Train,MSE Test
0.0,2433.6642,2900.5464
0.01,2416.2556,2855.6479
0.02,2402.4642,2853.176
0.03,2439.5363,2845.4138
0.04,2448.827,2833.8571
0.05,2442.5339,2839.8971
0.06,2466.8771,2884.6477
0.07,2484.7321,2864.0497
0.08,2514.5814,2858.9072
0.09,2515.9261,2843.0394
0.1,2533.1363,2874.4825
0.11,2538.7571,2857.3356
0.12,2546.6162,2877.0779
0.13,2560.4746,2876.0764
0.14,2564.1864,2882.9254
0.15,2580.288,2892.2004
0.16,2586.1611,2896.9898
0.17,2605.0519,2906.7423
0.18,2612.7379,2911.0384
0.19,2624.2871,2919.3818
0.2,2635.3977,2934.381
0.21,2643.5724,2928.8247
0.22,2655.1931,2938.4988
0.23,2664.9659,2945.5266
0.24,2676.3559,2954.2362
0.25,2686.2091,2961.7308
0.26,2696.759,2969.9505
0.27,2706.6359,2977.2339
0.28,2717.3117,2984.7474
0.29,2727.4326,2992.7667
0.3,2736.8361,2999.1282
0.31,2746.859,3007.424
0.32,2756.518,3016.3786
0.33,2766.685,3023.6999
0.34,2776.3527,3031.5353
0.35,2785.9422,3038.6452
0.36,2796.1468,3047.6062
0.37,2804.9909,3054.9996
0.38,2814.2619,3062.3711
0.39,2823.8912,3070.6125
0.4,2833.638,3079.4324
0.41,2842.9864,3087.1041
0.42,2852.1119,3094.7501
0.43,2861.2941,3103.0727
0.44,2869.9596,3110.6764
0.45,2879.1934,3118.9359
0.46,2888.2117,3126.6259
0.47,2897.0244,3134.434
0.48,2906.3342,3143.0931
0.49,2914.8923,3151.0232
0.5,2923.1995,3158.9089
0.51,2931.8759,3166.6255
0.52,2940.8534,3174.7964
0.53,2949.3821,3182.6801
0.54,2957.799,3190.5541
0.55,2965.8228,3198.0395
0.56,2974.2853,3206.0501
0.57,2982.7564,3214.0143
0.58,2990.9491,3221.8175
0.59,2999.1302,3229.542
0.6,3007.1391,3237.297
0.61,3015.3377,3245.311
0.62,3023.179,3252.6549
0.63,3030.9822,3260.2513
0.64,3038.3326,3267.0301
0.65,3044.3249,3273.0841
0.66,3041.3306,3281.622
0.67,3031.027,3284.8113
0.68,3027.1074,3282.7176
0.69,3030.6587,3286.5605
0.7,3084.9444,3313.3518
0.71,3092.4328,3320.8169
0.72,3099.871,3328.2643
0.73,3107.2857,3335.6727
0.74,3114.584,3343.0256
0.75,3136.8687,3372.8301
0.76,3129.0545,3357.7761
0.77,3136.1981,3364.9312
0.78,3143.4047,3372.2224
0.79,3150.4974,3379.5106
0.8,3159.4296,3387.8732
0.81,3164.6187,3393.9667
0.82,3171.9938,3401.6898
0.83,3178.6987,3408.459
0.84,3188.1346,3423.4563
0.85,3150.5037,3387.9568
0.86,3199.05,3429.5608
0.87,3205.9743,3436.6481
0.88,3212.9337,3443.9187
0.89,3218.8773,3450.0562
0.9,3225.378,3457.1753
0.91,3228.2074,3472.573
0.92,3238.9407,3471.3718
0.93,3238.3488,3471.2084
0.94,3251.9054,3485.1191
0.95,3258.2679,3491.8577
0.96,3264.6151,3498.0881
0.97,3271.0053,3505.368
0.98,3278.3997,3513.5109
0.99,3283.6999,3518.7835
1.0,3280.7834,3517.1917
