Lambda,MSE Train,MSE Test
0.0,2187.1603,3707.8402
0.01,2306.8322,2982.4461
0.02,2354.0713,2900.9736
0.03,2386.7802,2870.9416
0.04,2412.119,2858.0004
0.05,2433.1744,2852.6657
0.06,2451.5285,2851.3302
0.07,2468.0776,2852.35
0.08,2483.3656,2854.8797
0.09,2497.7403,2858.4444
0.1,2511.4323,2862.7579
0.11,2524.6,2867.6379
0.12,2537.3549,2872.9623
0.13,2549.7769,2878.6459
0.14,2561.9245,2884.6269
0.15,2573.8413,2890.8591
0.16,2585.5599,2897.3067
0.17,2597.1052,2903.9411
0.18,2608.4964,2910.7394
0.19,2619.7484,2917.6822
0.2,2630.8728,2924.7532
0.21,2641.8789,2931.9385
0.22,2652.7741,2939.2259
0.23,2663.5643,2946.6046
0.24,2674.2543,2954.0651
0.25,2684.8481,2961.5986
0.26,2695.3489,2969.1976
0.27,2705.7596,2976.855
0.28,2716.0825,2984.5643
0.29,2726.3196,2992.3197
0.3,2736.4726,3000.1158
0.31,2746.5432,3007.9476
0.32,2756.5327,3015.8106
0.33,2766.4423,3023.7004
0.34,2776.2733,3031.6132
0.35,2786.0267,3039.5453
0.36,2795.7036,3047.4934
0.37,2805.3048,3055.4542
0.38,2814.8314,3063.4249
0.39,2824.2842,3071.4028
0.4,2833.6641,3079.3852
0.41,2842.9719,3087.3699
0.42,2852.2084,3095.3547
0.43,2861.3745,3103.3374
0.44,2870.4709,3111.3162
0.45,2879.4985,3119.2893
0.46,2888.4579,3127.255
0.47,2897.3501,3135.2117
0.48,2906.1757,3143.158
0.49,2914.9354,3151.0925
0.5,2923.6301,3159.014
0.51,2932.2604,3166.9213
0.52,2940.8272,3174.8133
0.53,2949.3311,3182.6889
0.54,2957.7728,3190.5472
0.55,2966.153,3198.3873
0.56,2974.4726,3206.2084
0.57,2982.732,3214.0096
0.58,2990.9322,3221.7903
0.59,2999.0736,3229.5499
0.6,3007.1571,3237.2875
0.61,3015.1832,3245.0028
0.62,3023.1527,3252.6951
0.63,3031.0661,3260.3639
0.64,3038.9242,3268.0089
0.65,3046.7276,3275.6295
0.66,3054.4769,3283.2254
0.67,3062.1727,3290.7961
0.68,3069.8156,3298.3415
0.69,3077.4064,3305.8611
0.7,3084.9454,3313.3546
0.71,3092.4334,3320.8219
0.72,3099.871,3328.2627
0.73,3107.2586,3335.6767
0.74,3114.5969,3343.0639
0.75,3121.8865,3350.4239
0.76,3129.1278,3357.7567
0.77,3136.3215,3365.062
0.78,3143.468,3372.3399
0.79,3150.568,3379.5901
0.8,3157.6218,3386.8127
0.81,3164.6301,3394.0074
0.82,3171.5933,3401.1742
0.83,3178.512,3408.3132
0.84,3185.3866,3415.4242
0.85,3192.2176,3422.5071
0.86,3199.0055,3429.5621
0.87,3205.7508,3436.589
0.88,3212.4539,3443.5878
0.89,3219.1153,3450.5586
0.9,3225.7354,3457.5014
0.91,3232.3147,3464.4162
0.92,3238.8536,3471.303
0.93,3245.3525,3478.1618
0.94,3251.8119,3484.9927
0.95,3258.2323,3491.7957
0.96,3264.6139,3498.5709
0.97,3270.9572,3505.3183
0.98,3277.2626,3512.038
0.99,3283.5305,3518.7301
1.0,3289.7613,3525.3946
